Taxon,Region_1,Region_2,Region_3,Region_4,Biome_1,Biome_2,Biome_3
Oxyagrion_rubidum,S_Am,,,,W,,
Oxyagrion_simile,S_Am,,,,T,,
Oxyagrion_sulmatogrossense,S_Am,,,,T,,
Oxyagrion_tennesseni,S_Am,,,,T,,
Oxyagrion_terminale,S_Am,,,,T,W,
Oxyallagma_dissidens,S_Am,,,,W,,
Peristicta_aenoviridis,S_Am,,,,T,,
Phasmoneura_exigua,S_Am,,,,T,,
Phoenicagrion_flammeum,S_Am,,,,T,,
Platystigma_astictum,S_Am,,,,T,,
Platystigma_jocaste,S_Am,,,,T,,
Platystigma_martinezi,S_Am,,,,T,,
Protoneura_ailsa,S_Am,,,,T,,
Protoneura_calverti,S_Am,,,,T,,
Protoneura_macintyrei,S_Am,,,,T,,
Protoneura_paucinervis,S_Am,,,,T,,
Protoneura_romanae,S_Am,,,,T,,
Protoneura_scintilla,S_Am,,,,T,,
Protoneura_woytkowskii,S_Am,,,,T,,
Psaironeura_bifurcata,S_Am,,,,T,,
Psaironeura_tenuissima,S_Am,,,,T,,
Schistolobos_boliviensis,S_Am,,,,T,,
Telagrion_longum,S_Am,,,,T,,
Telebasis_brevis,S_Am,,,,T,,
Telebasis_carmesina,S_Am,,,,T,,
Telebasis_carota,S_Am,,,,T,,
Telebasis_demarara,S_Am,,,,T,,
Telebasis_dunklei,S_Am,,,,T,,
Telebasis_gigantea,S_Am,,,,T,,
Telebasis_griffinii,S_Am,,,,T,,
Telebasis_inalata,S_Am,,,,T,,
Telebasis_livida,S_Am,,,,T,,
Telebasis_obsoleta,S_Am,,,,T,,
Telebasis_rubricauda,S_Am,,,,T,,
Telebasis_sanguinalis,S_Am,,,,T,,
Telebasis_simulata,S_Am,,,,T,,
Telebasis_theodori,S_Am,,,,T,,
Telebasis_willinki,S_Am,,,,T,W,
Tigriagrion_aurantinigrum,S_Am,,,,T,,
