Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
121	1	-295.0743	-306.2861	11.21176	1	0	0	1	0.004152209	0.004152209	0.001946282	0.01134663	0.002437934	0.001304389	0.004504593	0.004504593	0.14393	0.0323217	0.409291	0.414457
122	0	-303.2028	-308.3281	5.125352	1	0	1	1	0.004403736	0.004403736	0.001009802	0.009497032	0.006164135	0.006164135	0.003781043	0.003781043	0.514198	0.0753963	0.289873	0.120534
123	1	-300.0088	-304.6373	4.62847	1	0	1	1	0.004695825	0.004695825	0.001461434	0.01098226	0.003724347	0.003724347	0.004414172	0.004414172	0.376237	0.141589	0.0806374	0.401537
124	0	-296.9255	-303.5073	6.581764	0	0	1	1	0.00541402	6.014205e-05	0.001627717	0.01254395	0.004717274	0.004717274	0.005263916	0.005263916	0.261729	0.00865095	0.700349	0.0292708
125	1	-300.4273	-308.5681	8.140808	1	0	1	1	0.004827839	0.004827839	0.001946613	0.009974818	0.002009713	0.002009713	0.003533958	0.003533958	0.332075	0.369992	0.186123	0.11181
126	0	-300.2784	-304.9654	4.687043	1	0	0	1	0.004876081	0.004876081	0.001841143	0.01658271	0.0008925473	0.001557516	0.005487327	0.005487327	0.10352	0.702599	0.0314099	0.162471
127	1	-301.1101	-307.9519	6.841763	1	0	1	1	0.004488228	0.004488228	0.00121412	0.01256892	0.002699939	0.002699939	0.002425778	0.002425778	0.158416	0.50108	0.256774	0.0837297
128	0	-294.9122	-309.125	14.21282	0	0	1	0	0.003350952	0.00189413	0.002950513	0.01092341	0.002360722	0.002360722	0.001351727	0.00631908	0.557653	0.162117	0.225323	0.0549074
129	1	-299.518	-308.2857	8.767769	1	0	1	1	0.004502911	0.004502911	0.001401583	0.009028586	0.002697556	0.002697556	0.004129456	0.004129456	0.410177	0.133755	0.210544	0.245524
130	0	-301.1086	-308.0199	6.91132	1	0	1	1	0.003328809	0.003328809	0.001143589	0.01021573	0.004510801	0.004510801	0.00413894	0.00413894	0.241265	0.0620237	0.485202	0.211509
131	1	-299.9811	-306.1978	6.216723	1	0	1	1	0.003691751	0.003691751	0.002013169	0.009909527	0.00310123	0.00310123	0.005212524	0.005212524	0.329891	0.0998696	0.150349	0.41989
