Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
10300	-301.3147	-313.4849	12.17016	1	0	1	1	0.004173498	0.004173498	0.000972264	0.008559613	0.002311102	0.002311102	0.002851961	0.002851961	0.19825	0.138099	0.618419	0.0452315
10400	-293.3245	-305.445	12.12047	0	0	1	1	0.003067198	0.0001288692	0.001499348	0.01121657	0.002845165	0.002845165	0.006162581	0.006162581	0.688707	0.00584137	0.226205	0.0792467
10500	-297.5098	-306.3038	8.793991	1	0	1	0	0.00525695	0.00525695	0.002056164	0.01021283	0.004165521	0.004165521	0.0003985404	0.005656867	0.262474	0.221853	0.208558	0.307116
10600	-301.2529	-310.7567	9.503863	1	0	1	1	0.003341055	0.003341055	0.001685287	0.01079635	0.001546045	0.001546045	0.003765758	0.003765758	0.0922154	0.338088	0.409035	0.160661
10700	-296.2372	-310.1974	13.96021	1	0	0	1	0.00282869	0.00282869	0.001495857	0.009273285	0.003094311	0.002419086	0.004244929	0.004244929	0.386354	0.0443003	0.0100833	0.559262
10800	-298.3421	-316.4437	18.10157	1	0	0	1	0.002103433	0.002103433	0.001588504	0.008941994	0.002078808	0.001209073	0.003914641	0.003914641	0.775152	0.153789	0.0194351	0.051623
10900	-297.4838	-307.9149	10.43112	0	0	1	1	0.00473858	0.0004185608	0.0005629975	0.01160052	0.003462353	0.003462353	0.005572481	0.005572481	0.18274	0.274119	0.0649771	0.478164
11000	-303.8773	-313.4628	9.585449	1	0	1	1	0.003401147	0.003401147	0.0009912963	0.007388628	0.003387634	0.003387634	0.005896449	0.005896449	0.0840142	0.294215	0.428342	0.193428
11100	-298.0636	-304.5383	6.474736	1	0	0	1	0.003865646	0.003865646	0.001717272	0.01089892	0.002416929	0.001953494	0.008865722	0.008865722	0.0753286	0.177033	0.145719	0.60192
11200	-300.0328	-309.3403	9.307475	1	0	1	1	0.004622186	0.004622186	0.001226553	0.008489048	0.002342194	0.002342194	0.004621422	0.004621422	0.523423	0.323457	0.108689	0.0444309
11300	-301.5782	-306.8078	5.229626	1	0	1	1	0.004542458	0.004542458	0.002374474	0.009340327	0.002348149	0.002348149	0.006161718	0.006161718	0.306068	0.0151285	0.146782	0.532022
11400	-291.1176	-312.3789	21.26122	0	0	0	1	0.004175922	0.0003435554	0.001606916	0.007907882	0.003884632	0.001079431	0.004161821	0.004161821	0.118129	0.179302	0.0190822	0.683487
11500	-302.7303	-306.4352	3.704872	1	0	1	1	0.004007399	0.004007399	0.002423813	0.008317564	0.003617745	0.003617745	0.007696478	0.007696478	0.53369	0.0678559	0.244969	0.153486
11600	-292.6621	-309.8231	17.16103	0	0	1	0	0.004473463	0.002544386	0.001338378	0.008152694	0.002170075	0.002170075	0.0004577703	0.007508109	0.431795	0.184912	0.232491	0.150802
11700	-300.7814	-306.5594	5.777981	1	0	1	0	0.004349785	0.004349785	0.002153984	0.01351785	0.0007071786	0.0007071786	0.002086059	0.00749529	0.221009	0.447035	0.236724	0.0952322
11800	-292.4926	-306.3034	13.81078	1	0	1	0	0.003939733	0.003939733	0.001698887	0.01078652	0.002755866	0.002755866	6.292717e-05	0.004239226	0.44364	0.331441	0.0540194	0.170899
11900	-301.1588	-307.1622	6.003404	1	0	1	1	0.005205276	0.005205276	0.00167287	0.01180094	0.001636456	0.001636456	0.003793957	0.003793957	0.279425	0.201829	0.0250723	0.493674
12000	-304.9678	-301.0091	-3.958664	1	0	1	1	0.004045512	0.004045512	0.001844016	0.01540616	0.001481927	0.001481927	0.009798548	0.009798548	0.156035	0.106665	0.127433	0.609867
