Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
100	0	-299.4412	-312.7436	13.30245	0	0	1	1	0.002610565	0.0005085247	0.0001263831	0.004897365	0.005875239	0.005875239	0.01057741	0.01057741	0.31997	0.0351688	0.188856	0.456005
101	1	-307.855	-315.817	7.962024	1	0	1	1	0.002013619	0.002013619	0.0006347176	0.005669996	0.005073211	0.005073211	0.009711668	0.009711668	0.490377	0.347852	0.15466	0.0071107
102	0	-307.0219	-320.1226	13.1007	1	0	1	1	0.001260818	0.001260818	8.523417e-05	0.002612475	0.00693249	0.00693249	0.007686211	0.007686211	0.409113	0.168368	0.341755	0.0807642
103	1	-299.6436	-319.6431	19.99955	0	0	1	1	0.001311435	0.001140075	0.000333085	0.005330312	0.006046757	0.006046757	0.004535226	0.004535226	0.39199	0.123752	0.129024	0.355234
104	0	-297.8015	-318.5496	20.74812	0	0	1	1	0.002492737	0.0004163938	0.0001531976	0.005321063	0.00611295	0.00611295	0.003541234	0.003541234	0.298647	0.0333683	0.657761	0.0102231
105	1	-304.4451	-316.5121	12.06698	1	0	1	1	0.001848938	0.001848938	0.0002748375	0.004771058	0.006123442	0.006123442	0.00646942	0.00646942	0.413422	0.233076	0.177344	0.176159
106	0	-298.8559	-315.1183	16.26243	0	0	1	1	0.001835193	0.001415873	9.15751e-05	0.00425687	0.005704097	0.005704097	0.008684826	0.008684826	0.122977	0.167675	0.286669	0.422679
107	1	-307.6181	-323.6771	16.05901	1	0	1	1	0.0009008794	0.0009008794	0.0008438287	0.005485552	0.00558874	0.00558874	0.00315264	0.00315264	0.272614	0.0122567	0.488633	0.226496
108	0	-307.2619	-311.5822	4.320298	1	0	1	1	0.001654109	0.001654109	0.0004302809	0.006752123	0.006492275	0.006492275	0.01098194	0.01098194	0.00216973	0.22803	0.141764	0.628036
109	1	-299.3079	-315.672	16.36406	0	0	1	1	0.001221421	0.0001133006	0.001123338	0.005718596	0.006623336	0.006623336	0.007098926	0.007098926	0.0641792	0.0509352	0.749688	0.135197
110	0	-307.5644	-323.1616	15.59718	1	0	1	1	0.001620494	0.001620494	1.638424e-05	0.007418914	0.005347778	0.005347778	0.001974831	0.001974831	0.0985304	0.389065	0.496032	0.0163723
111	1	-296.7513	-316.8866	20.13528	0	0	1	0	0.000713418	0.0001270284	0.0001734232	0.005157314	0.006281327	0.006281327	0.005570599	0.006750198	0.272478	0.273153	0.345196	0.109172
112	0	-302.9123	-325.2058	22.29347	0	0	1	1	0.001133914	0.0004958088	0.000514111	0.005486435	0.006189073	0.006189073	0.002857131	0.002857131	0.728234	0.25174	0.0176487	0.00237767
113	1	-305.3739	-312.6865	7.312611	1	0	1	1	0.001958641	0.001958641	0.0006305447	0.006670627	0.006851712	0.006851712	0.00756367	0.00756367	0.333177	0.0682206	0.581948	0.016655
114	0	-305.4915	-316.1043	10.61286	1	0	1	1	0.001061399	0.001061399	0.0004127902	0.006036392	0.006311858	0.006311858	0.006945996	0.006945996	0.207754	0.489427	0.13486	0.167959
115	1	-307.5871	-320.6093	13.02222	1	0	1	1	0.002296134	0.002296134	0.0002763305	0.006112809	0.005334166	0.005334166	0.004626906	0.004626906	0.0489491	0.703304	0.0351554	0.212592
